,Localitate,Categorie
Siruta,,
31565,Tarcea,Femei_18-24
31609,Tarcaia,Barbati_18-24
31654,Tauteu,Femei_18-24
31716,Tileagd,Femei_18-24
31789,Tinca,Femei_18-24
31841,Tulca,Femei_18-24
31878,Tetchea,Barbati_18-24
31921,Uileacu De Beius,Barbati_18-24
31976,Vadu Crisului,Barbati_18-24
32027,Oras Valea Lui Mihai,Barbati_18-24
32045,Viisoara,Femei_25-34
32090,Varciorog,Femei_18-24
32153,Tamaseu,Barbati_18-24
32161,Paleu,Femei_18-24
32179,Sannicolau Roman,Femei_18-24
32187,Rosiori,Femei_18-24
32195,Gepiu,Femei_18-24
32201,Toboliu,Femei_18-24
32394,Municipiul Bistrita,Femei_18-24
32483,Oras Beclean,Barbati_18-24
32544,Oras Nasaud,Femei_18-24
32599,Oras Sangeorz-Bai,Barbati_18-24
32633,Bistrita Bargaului,Barbati_18-24
32660,Branistea,Femei_18-24
32704,Budacu De Jos,Barbati_18-24
32768,Budesti,Femei_18-24
32811,Caianu Mic,Femei_18-24
32884,Cetate,Femei_18-24
32955,Ciceu-Giurgesti,Barbati_18-24
33015,Chiochis,Femei_18-24
33122,Chiuza,Femei_25-34
33177,Cosbuc,Barbati_18-24
33202,Dumitra,Barbati_18-24
33248,Feldru,Femei_18-24
33275,Galatii Bistritei,Femei_25-34
33337,Ilva Mare,Barbati_18-24
33364,Ilva Mica,Barbati_18-24
33382,Josenii Bargaului,Barbati_18-24
33435,Lechinta,Femei_18-24
33514,Lesu,Femei_18-24
33541,Livezile,Barbati_18-24
33603,Lunca Ilvei,Femei_25-34
33621,Maieru,Barbati_18-24
33658,Matei,Femei_18-24
33729,Magura Ilvei,Barbati_18-24
33765,Mariselu,Barbati_18-24
33845,Micestii De Campie,Femei_18-24
33881,Milas,Femei_25-34
33952,Monor,Femei_18-24
33989,Nimigea,Barbati_18-24
34075,Nuseni,Femei_18-24
34155,Parva,Barbati_18-24
34173,Petru Rares,Femei_18-24
34235,Prundu Bargaului,Femei_18-24
34262,Rebra,Barbati_18-24
34280,Rebrisoara,Barbati_18-24
34333,Rodna,Femei_18-24
34360,Romuli,Femei_18-24
34397,Salva,Femei_18-24
34422,Silivasu De Campie,Barbati_18-24
34477,Sanmihaiu De Campie,Barbati_18-24
34547,Spermezeu,Barbati_18-24
34618,Sant,Femei_18-24
34645,Sieu,Barbati_18-24
34690,Sieu-Magherus,Barbati_18-24
34770,Sieu-Odorhei,Femei_18-24
34850,Sieut,Barbati_18-24
34903,Sintereag,Femei_18-24
34985,Teaca,Barbati_18-24
35054,Telciu,Femei_18-24
35090,Tiha Bargaului,Barbati_18-24
35152,Tarlisua,Femei_18-24
35269,Uriu,Femei_18-24
35312,Urmenis,Femei_18-24
35429,Zagra,Femei_18-24
35731,Municipiul Botosani,Femei_18-24
35759,Curtesti,Femei_18-24
35839,Rachiti,Femei_18-24
35884,Stauceni,Femei_18-24
35946,Oras Darabani,Femei_18-24
36006,Municipiul Dorohoi,Femei_18-24
36060,Oras Saveni,Femei_25-34
36131,Albesti,Femei_25-34
36202,Avrameni,Barbati_25-34
36300,Baluseni,Barbati_18-24
36373,Braesti,Femei_18-24
36426,Broscauti,Femei_18-24
36453,Oras Bucecea,Barbati_18-24
36499,Calarasi,Femei_18-24
36532,Concesti,Femei_18-24
36569,Copalau,Femei_18-24
36649,Cordareni,Femei_25-34
36676,Corlateni,Femei_25-34
36756,Corni,Femei_18-24
36809,Cotusca,Femei_18-24
36907,Cristesti,Femei_18-24
36952,Cristinesti,Femei_18-24
37011,Dersca,Femei_18-24
37057,Dangeni,Barbati_18-24
37100,Dobarceni,Barbati_25-34
37173,Draguseni,Femei_18-24
37217,Durnesti,Femei_18-24
37280,Oras Flamanzi,Barbati_18-24
37324,Frumusica,Femei_18-24
37397,George Enescu,Femei_18-24
37459,Gorbanesti,Femei_18-24
37547,Havarna,Barbati_25-34
37618,Hanesti,Femei_18-24
37672,Hiliseu-Horia,Barbati_18-24
37734,Hlipiceni,Femei_25-34
37770,Hudesti,Femei_18-24
37823,Ibanesti,Femei_18-24
37850,Leorda,Femei_18-24
37912,Lunca,Femei_18-24
37958,Manoleasa,Barbati_18-24
38063,Mihai Eminescu,Femei_18-24
38161,Mihaileni,Femei_18-24
38241,Mihalaseni,Barbati_18-24
38321,Mileanca,Barbati_18-24
38376,Mitoc,Femei_25-34
38456,Nicseni,Barbati_18-24
38492,Paltinis,Femei_25-34
38544,Pomarla,Barbati_18-24
38580,Prajeni,Femei_18-24
38633,Radauti-Prut,Femei_18-24
38679,Rauseni,Barbati_18-24
38731,Ripiceni,Femei_18-24
38811,Roma,Femei_18-24
38848,Romanesti,Femei_25-34
38893,Santa Mare,Femei_18-24
38982,Suharau,Femei_18-24
39051,Sulita,Femei_18-24
39122,Sendriceni,Femei_18-24
39168,Oras Stefanesti,Femei_18-24
39220,Stiubieni,Femei_18-24
39266,Todireni,Femei_18-24
39328,Trusesti,Femei_25-34
39391,Tudora,Barbati_18-24
39417,Ungureni,Femei_18-24
39532,Unteni,Femei_18-24
39612,Vaculesti,Barbati_18-24
39658,Viisoara,Femei_18-24
39694,Varfu Campului,Barbati_18-24
39738,Vladeni,Femei_18-24
39792,Vlasinesti,Femei_25-34
39836,Vorniceni,Femei_18-24
39872,Vorona,Barbati_18-24
39942,Lozna,Femei_18-24
39959,Dimacheni,Femei_18-24
39967,Candesti,Femei_18-24
39975,Cosula,Barbati_18-24
39983,Blandesti,Barbati_18-24
40035,Adaseni,Femei_18-24
40198,Municipiul Brasov,Femei_18-24
40214,Oras Ghimbav,Femei_18-24
40241,Municipiul Codlea,Femei_18-24
40278,Municipiul Fagaras,Femei_18-24
40303,Oras Predeal,Femei_18-24
40367,Oras Rasnov,Barbati_18-24
40394,Oras Rupea,Femei_18-24
40438,Municipiul Sacele,Femei_18-24
40465,Oras Victoria,Femei_18-24
40492,Oras Zarnesti,Femei_18-24
40526,Apata,Femei_18-24
40544,Beclean,Femei_18-24
40606,Bod,Femei_18-24
40633,Bran,Femei_18-24
40688,Budila,Femei_65_
40704,Bunesti,Femei_18-24
40768,Cata,Femei_18-24
40820,Cincu,Femei_18-24
40857,Comana,Barbati_18-24
40900,Cristian,Femei_18-24
40928,Dumbravita,Barbati_18-24
40955,Feldioara,Femei_18-24
40991,Fundata,Femei_18-24
41033,Halchiu,Barbati_18-24
41088,Harman,Femei_18-24
41113,Harseni,Femei_18-24
41177,Hoghiz,Barbati_18-24
41248,Homorod,Femei_18-24
41284,Jibert,Barbati_18-24
41346,Lisa,Femei_18-24
41382,Maierus,Femei_18-24
41417,Mandra,Femei_18-24
41471,Moieciu,Femei_18-24
41541,Ormenis,Femei_18-24
41578,Parau,Barbati_18-24
41621,Poiana Marului,Femei_18-24
41667,Prejmer,Femei_18-24
41701,Racos,Femei_18-24
41738,Recea,Femei_18-24
41818,Sercaia,Femei_18-24
41854,Sinca,Femei_18-24
41925,Sanpetru,Barbati_18-24
41943,Soars,Barbati_18-24
42003,Tarlungeni,Barbati_18-24
42058,Teliu,Femei_18-24
42076,Ticusu,Femei_18-24
42101,Ucea,Femei_18-24
42156,Ungra,Femei_18-24
42183,Vama Buzaului,Femei_18-24
42236,Vistea,Femei_18-24
42307,Voila,Femei_18-24
42398,Vulcan,Femei_18-24
42449,Sinca Noua,Femei_18-24
42456,Crizbav,Barbati_18-24
42464,Sambata De Sus,Femei_18-24
42472,Holbav,Femei_18-24
42480,Dragus,Barbati_18-24
42498,Augustin,Barbati_18-24
42682,Municipiul Braila,Femei_18-24
42708,Chiscani,Femei_18-24
42753,Oras Faurei,Femei_18-24
42771,Surdila-Greci,Femei_18-24
42824,Baraganul,Femei_18-24
42842,Bertestii De Jos,Femei_18-24
42913,Bordei Verde,Femei_18-24
42968,Ciocile,Femei_18-24
43019,Ciresu,Femei_18-24
43073,Dudesti,Femei_18-24
43117,Frecatei,Femei_18-24
43180,Galbenu,Barbati_18-24
43242,Gemenele,Barbati_18-24
43279,Gradistea,Barbati_35-44
43313,Gropeni,Femei_18-24
43331,Oras Ianca,Femei_18-24
43411,Oras Insuratei,Femei_18-24
43466,Jirlau,Barbati_18-24
43493,Marasu,Barbati_18-24
43563,Maxineni,Barbati_18-24
43625,Mircea Voda,Barbati_18-24
43652,Movila Miresii,Femei_18-24
43698,Racovita,Femei_18-24
43732,Ramnicelu,Femei_18-24
43787,Romanu,Barbati_25-34
43812,Rosiori,Barbati_18-24
43867,Salcia Tudor,Femei_18-24
43929,Scortaru Nou,Barbati_18-24
43992,Silistea,Barbati_18-24
44060,Stancuta,Femei_18-24
44113,Surdila-Gaiseanca,Femei_18-24
44140,Sutesti,Femei_18-24
44177,Tichilesti,Femei_18-24
44202,Traian,Femei_18-24
44257,Tudor Vladimirescu,Femei_18-24
44300,Tufesti,Femei_18-24
44328,Ulmu,Femei_18-24
44355,Unirea,Femei_18-24
44391,Vadeni,Barbati_18-24
44435,Victoria,Femei_18-24
44462,Visani,Femei_18-24
44505,Viziru,Femei_18-24
44532,Zavoaia,Femei_18-24
44560,Cazasu,Barbati_18-24
44818,Municipiul Buzau,Femei_18-24
44845,Municipiul Ramnicu Sarat,Femei_18-24
44863,Amaru,Barbati_18-24
44934,Balta Alba,Femei_18-24
44989,Balaceanu,Femei_25-34
45003,Beceni,Femei_18-24
45101,Berca,Femei_18-24
45245,Bisoca,Femei_18-24
45334,Blajani,Femei_18-24
45361,Boldu,Femei_18-24
45389,Bozioru,Femei_25-34
